State,Expenditure,Income,Population
Alabama,275,6247,4785492.00
Alaska,821,10851,714031.00
Arizona,339,7374,6408312.00
Arkansas,275,6183,2921995.00
California,387,8850,37332685.00
Colorado,452,8001,5048644.00
Connecticut,531,8914,3579899.00
Delaware,424,8604,899816.00
Florida,316,7505,18849098.00
Georgia,265,6700,9713521.00
Hawaii,403,8380,1363945.00
Idaho,304,6813,1571010.00
Illinois,437,8745,12841578.00
Indiana,345,7696,6490528.00
Iowa,431,7873,3050738.00
Kansas,355,8001,2858850.00
Kentucky,260,6615,4348662.00
Louisiana,316,6640,4544996.00
Maine,327,6333,1327730.00
Maryland,427,8306,5788584.00
Massachusetts,427,8063,6565524.00
Michigan,466,8442,9877495.00
Minnesota,477,7847,5311147.00
Mississippi,259,5736,2970322.00
Missouri,274,7342,5996118.00
Montana,433,7051,990641.00
Nebraska,294,7391,1830051.00
Nevada,359,9032,2703284.00
New Hampshire,279,7277,1316872.00
New Jersey,423,8818,8803729.00
New Mexico,388,6505,2064756.00
New York,447,8267,19402640.00
North Carolina,335,6607,9558915.00
North Dakota,311,7478,674526.00
Ohio,322,7812,11540983.00
Oklahoma,320,6951,3759603.00
Oregon,397,7839,3838048.00
Pennsylvania,412,7733,12712343.00
Rhode Island,342,7526,1053337.00
South Carolina,315,6242,4635943.00
South Dakota,321,6841,816325.00
Tennessee,268,6489,6356671.00
Texas,315,7697,25244310.00
Utah,417,6622,2775326.00
Vermont,353,6541,625982.00
Virginia,356,7624,8025773.00
Washington,415,8450,6743226.00
Washington DC,428,10022,605183.00
West Virginia,320,6456,1854230.00
Wisconsin,200,7597,5690263.00
Wyoming,500,9096,564513.00
